1,1,服部 彩,女性,46,東京都,港区,品川2丁目,マンション,初めて,2018-02-14,2018-03-14,2018-03-14,2019-01-14,2019-07-31,4,22000000,22500000,1,3,500000,17000000,2,2,港区：担当者の対応が良かったです。,5,"港区品川：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。
住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。","港区品川：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事
だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ",5,"港区品川：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。
自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上","港区品川：木曾路はすべて山の中である。
あるところは岨づたいに",
1,2,石津 秀明,男性,40,東京都,港区,赤坂2丁目,土地,2回目,2019-01-03,2019-03-25,2019-03-25,2019-03-25,2019-04-10,3,6500000,6500000,0,,,6500000,3,4,港区：担当者の対応が良かったです。,1,"港区赤坂：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。
山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。
山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。","港区赤坂：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ
港区赤坂：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ",4,"港区赤坂：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上
恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、",港区赤坂：木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
1,3,山本 孝雄,男性,49,東京都,港区,六本木3丁目,戸建て,3回以上,2018-12-01,2019-01-01,2019-01-01,2019-02-01,2019-02-01,3,15800000,15800000,0,,,16100000,5,4,港区：担当者の対応が良かったです。,5,港区六本：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにく,港区六本：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶,5,港区六本：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじ,港区六本：木曾路はすべて山の中である。あるところは岨づたい,特にないです。強いていえば誠実すぎです。
2,4,北澤 美帆,女性,41,東京都,渋谷区,渋谷2丁目,マンション,初めて,2018-12-01,2019-05-11,2019-05-12,2019-08-31,2019-10-25,5,28000000,31800000,1,2,3000000,26800000,2,1,渋谷区：担当者の対応が良かったです。,1,渋谷渋谷：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,渋谷渋谷：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,渋谷渋谷：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,渋谷渋谷：木曾路はすべて山の中である。あるところは岨づたいに,折返しの連絡が無かったり、遅かったりすることがあったこと。
2,5,大森 奈生子,女性,50,東京都,目黒区,中目黒7丁目,土地,2回目,2003-01-13,2003-03-10,2003-03-10,2003-03-24,2003-03-27,1,12800000,12800000,1,1,500000,9800000,5,4,目黒区：担当者の対応が良かったです。,1,目黒中目：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,目黒中目：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,1,目黒中目：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,目黒中目：木曾路はすべて山の中である。あるところは岨づたいに,売却方法の選択肢をアドバイスして欲しい。
3,6,大門 誠,男性,46,岐阜県,大垣市,大井２丁目,戸建て,3回以上,2018-12-03,2019-01-10,2019-02-01,2019-04-01,2019-05-01,4,20300000,21000000,0,,,20000000,1,1,大垣市：担当者の対応が良かったです。,3,大垣大井：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,大垣大井：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,大垣大井：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,大垣大井：木曾路はすべて山の中である。あるところは岨づたいに,問い合わせのレスポンスが若干遅かったのが気になりました。
3,7,吉井 正也,男性,55,青森県,青森市,青葉２丁目,マンション,初めて,2018-09-01,2019-01-05,2019-01-12,2019-11-29,2020-04-20,5,57000000,58800000,0,,,57500000,1,2,青森市：担当者の対応が良かったです。,1,青森青葉：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,青森青葉：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,青森青葉：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,青森青葉：木曾路はすべて山の中である。あるところは岨づたいに,短時間で売却出た場合、仲介手数料の割引等があってもよいのではないか。
3,8,山崎 泰司,男性,52,京都府,南丹市,園部町天引向井田,土地,2回目,2018-09-01,2019-03-01,2019-10-26,2020-04-01,2020-04-01,1,8000000,8000000,0,,,8000000,3,2,南丹市：担当者の対応が良かったです。,1,南丹園部：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,南丹園部：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,南丹園部：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,南丹園部：木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
4,9,丸山 宏平,男性,56,石川県,羽咋市,大町ニ,戸建て,3回以上,2019-01-15,2019-05-13,2019-05-17,2019-10-31,2019-10-31,5,15000000,15000000,0,,,15000000,2,4,羽咋市：担当者の対応が良かったです。,4,羽咋大町：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,羽咋大町：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,羽咋大町：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,羽咋大町：木曾路はすべて山の中である。あるところは岨づたいに,特に無し。
4,10,溝井 美穂,女性,57,埼玉県,上尾市,仲町１丁目,マンション,初めて,2018-08-01,2019-02-16,2019-02-16,2019-06-15,2019-08-03,4,12000000,12000000,1,4,1000000,11000000,2,2,上尾市：担当者の対応が良かったです。,99,上尾仲町：山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,上尾仲町：吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,上尾仲町：恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,上尾仲町：木曾路はすべて山の中である。あるところは岨づたいに,特にありませんでした。
